Inmateid,Bookingid,Last Admission Date,InmateLast,Inmatefirst,Gender,Race,Age at booking,Days in Custody from Last Admission Date,casedisposition,ChargeDescription,Statute,ChargeCrimeType,CurrentBond,TotalBond,City,Zip
1935191710,1398327220,3/26/07,,,Male,Black,35,3354,Case Continued,MURDER/INTENT TO KILL/INJURE,720 ILCS 5/9-1(a)(1),Class M Felony (Murder),$0 ,$0 ,,60827
1935194202,1398327282,11/21/07,,,Male,Black,55,3114,Case Continued,First Degree Murder:Intends Death/Great Harm,720 ILCS 5/9-1(a)(1),Class M Felony (Murder),"$1,000,000 ","$1,000,000 ",,60615
1935193092,1398327649,3/13/08,,,Male,Black,36,3001,Case Continued,First Degree Murder:Intends Death/Great Harm,720 ILCS 5/9-1(a)(1),Class M Felony (Murder),$0 ,$0 ,,60644
1935194187,1398327779,3/14/08,,,Male,Black,31,3000,Case Continued,BRING/POSS CONTRA PENAL INST,720 ILCS 5/31A-1.1,Class 4 Felony,"$250,000 ","$250,000 ",,
1935194187,1398327779,3/14/08,,,Male,Black,31,3000,Case Continued,First Degree Murder:Intends Death/Great Harm,720 ILCS 5/9-1(a)(1),Class M Felony (Murder),$0 ,"$250,000 ",,
1935197254,1398324415,1/4/09,,,Male,Black,26,2704,Bond Paid with Electronic Monitoring,First Degree Murder:Intends Death/Great Harm,720 ILCS 5/9-1(a)(1),Class M Felony (Murder),"$2,000,000 ","$2,000,000 ",CHICAGO,60620
1935196611,1398327925,2/27/09,,,Male,Black,31,2650,Case Continued,MURDER/INTENT TO KILL/INJURE,720 ILCS 5/9-1(a)(1),Class M Felony (Murder),$0 ,"$900,000 ",,60624
1935196611,1398327925,2/27/09,,,Male,Black,31,2650,Case Continued,AGG BTRY/HARM/PEACE OFFICER,720 ILCS 5/12-4(b)(18),Class 2 Felony,"$900,000 ","$900,000 ",,60624
1935196611,1398327925,2/27/09,,,Male,Black,31,2650,Vacated,Agg Battery/Police/Sheriff Empolyee,720 ILCS 5/12-4-b-17,,$0 ,"$900,000 ",,60624
1935196611,1398327925,2/27/09,,,Male,Black,31,2650,Case Continued,MFG/DEL 1<15 GR COCAINE/ANLG,720 ILCS 570/401(c)(2),Class 1 Felony,$0 ,"$900,000 ",,60624
1935196611,1398327925,2/27/09,,,Male,Black,31,2650,Sentenced Supervision,Prostitution,720 ILCS 5/11-14,Class 4 Felony,,"$900,000 ",,60624
1935196611,1398327925,2/27/09,,,Male,Black,31,2650,Case Continued,AGG DUI/NO VALID DL,625 ILCS 5/11-501(a),Class 4 Felony,$0 ,"$900,000 ",,60624
1935196611,1398327925,2/27/09,,,Male,Black,31,2650,Case Continued,AGG BATT/HARM/POLICE/DOC/DHS,720 ILCS 5/12-4(a),Class 1 Felony,$0 ,"$900,000 ",,60624
