Original Description,Original Statute,Corrected Statute,Charge Class,Other Class Possible,Standardized Description,Notes,Type
ANIMAL TORTURE,510 ILCS 70/3.03(a),510 ILCS 70/3.03(a),F3,,ANIMAL CRUELTY,,
AGGRAVATED CRUELTY TO ANIMALS,510 ILCS 70/3.02(a),510 ILCS 70/3.02(a),F4,,ANIMAL CRUELTY,,
ARMED HABITUAL CRIMINAL,720 ILCS 5/24-1.7(a),720 ILCS 5/24-1.7(a),FX,,ARMED HABITUAL CRIMINAL,,
AGGRAVATED ROBBERY,720 ILCS 5/18-5(a),720 ILCS 5/18-1(b),F1,,ARMED ROBBERY,,
ATTEMPT ARMED ROBBERY,720 ILCS 5/18-2(a),720 ILCS 5/18-2(a),FX,,ARMED ROBBERY,,
ARMED ROBBERY,720 ILCS 5/18-2(a),720 ILCS 5/18-2(a),FX,,ARMED ROBBERY,,
ARMED ROBBERY/NO FIREARM,720 ILCS 5 18-2(a)(1) [12365],720 ILCS 5/18-2(a)(1),FX,,ARMED ROBBERY,,
ARMED ROBBERY NO FIREARM,720 ILCS 5/18-2(a)(1),720 ILCS 5/18-2(a)(1),FX,,ARMED ROBBERY,,
ARMED ROBBERY/NO FIREARM,720 ILCS 5/18-2(a)(1),720 ILCS 5/18-2(a)(1),FX,,ARMED ROBBERY,,
ARMED ROBBERY ARMED WITH FIREARM,720 ILCS 5/18-2(a)(2,720 ILCS 5/18-2(a)(2),FX,,ARMED ROBBERY,,
ARMED ROBBERY/ARMED W/FIREARM,720 ILCS 5 18-2(a)(2) [12366],720 ILCS 5/18-2(a)(2),FX,,ARMED ROBBERY,,
ARMED ROBBERY/ARMED W/FIREARM,720 ILCS 5/18-2(a)(2),720 ILCS 5/18-2(a)(2),FX,,ARMED ROBBERY,,
ARMED ROBBERY ARMED WITH FIREARM,720 ILCS 5/18-2(a)(2),720 ILCS 5/18-2(a)(2),FX,,ARMED ROBBERY,,
ROBBERY ARMED,,720 ILCS 5/18-2(a)(2),FX,,ARMED ROBBERY,,
ARMED ROBBERY,,720 ILCS 5/18-2(a)(2),FX,,ARMED ROBBERY,,
ARMED ROBBERY DISCHARGE OF A FIREARM,720 ILCS 5/18-2(a)(3,720 ILCS 5/18-2(a)(3),FX,,ARMED ROBBERY,,
ARMED ROBBERY/DISCH FIREARM,720 ILCS 5/18-2(a)(3),720 ILCS 5/18-2(a)(3),FX,,ARMED ROBBERY,,
ARMED ROBBERY/DISCHARGE/HARM,720 ILCS 5/18-2(a)(4),720 ILCS 5/18-2(a)(4),FX,,ARMED ROBBERY,,
ARMED ROBBERY DISCAHRGE FIREARM RESULTING HARM,720 ILCS 5/18-2(a)(4),720 ILCS 5/18-2(a)(4),FX,,ARMED ROBBERY,,
ARMED VIOLENCE:CATEGORY I/II WEAPONS,720 ILCS 5/33A-2,720 ILCS 5/33A-2(a)(cat. I),FX,,ARMED VIOLENCE,,
ARMED VIOL/CATEGORY I WEAPON,720 ILCS 5/33A-2,720 ILCS 5/33A-2(a)(cat. I),FX,,ARMED VIOLENCE,,
ARMED VIOLENCE/CATEGORY I,720 ILCS 5/33A-2(a),720 ILCS 5/33A-2(a)(cat. I),FX,,ARMED VIOLENCE,,
ARM VIOL/CATEGORY II WEAPON,720 ILCS 5/33A-2,720 ILCS 5/33A-2(a)(cat. II),FX,,ARMED VIOLENCE,,
ARM VIOL/CATEGORY II WEAP/1ST,720 ILCS 5/33A-2,720 ILCS 5/33A-2(a)(cat. II),FX,,ARMED VIOLENCE,,
ARMED VIOLENCE/CATEGORY II,720 ILCS 5/33A-2(a),720 ILCS 5/33A-2(a)(cat. II),FX,,ARMED VIOLENCE,,
ARMED VIOLENCE/CATEGORY I/II,720 ILCS 5/33A-2(b),720 ILCS 5/33A-2(b)(cat. I),FX,,ARMED VIOLENCE,,
ARSON/REAL/PERSONAL PROP>$150,720 ILCS 5/20-1(a),720 ILCS 5/20-1(a),F2,,ARSON,,
ARSON/REAL/PERSONAL PROP>$150,720 ILCS 5/20-1(a)(1),720 ILCS 5/20-1(a)(1),F2,,ARSON,,
AGGRAVATED ARSON:KNOWS PERSONS PRESENT,38-20-1.1(a)(1),720 ILCS 5/20-1.1,FX,,ARSON: AGGRAVATED,,
AGGRAVATED ARSON:KNOWS PERSONS PRESENT,720 ILCS 5/20-1.1(a),720 ILCS 5/20-1.1(a),FX,,ARSON: AGGRAVATED,,
AGG ARSON/KNOW PEOPLE PRESENT,720 ILCS 5 20-1.1(a)(1) [1130000],720 ILCS 5/20-1.1(a)(1),FX,,ARSON: AGGRAVATED,,
AGG ARSON/KNOW PEOPLE PRESENT,720 ILCS 5/20-1.1(a)(1),720 ILCS 5/20-1.1(a)(1),FX,,ARSON: AGGRAVATED,,
AGGRAVATED ARSON/BODILY HARM,720 ILCS 5/20-1.1(a)(2),720 ILCS 5/20-1.1(a)(2),FX,,ARSON: AGGRAVATED,,
